iter	Logloss
0	0.690419809
1	0.6894074956
2	0.6881205241
3	0.6856132022
4	0.6833483158
5	0.6807247449
6	0.6792610183
7	0.6779064259
8	0.6763011072
9	0.6747771688
10	0.6734742622
11	0.6714210584
12	0.6689825922
13	0.6681485038
14	0.6668608267
15	0.6661558059
16	0.6641786314
17	0.6633398978
18	0.6619986532
19	0.6606164245
20	0.6596226334
21	0.6576222914
22	0.6569414966
23	0.6558732049
24	0.6549976033
25	0.654422003
26	0.6536045552
27	0.6524055496
28	0.6518813999
29	0.6507751818
30	0.6495491866
31	0.648856514
32	0.6476435726
33	0.6466237327
34	0.6456113018
35	0.6442190181
36	0.6432963171
37	0.6425475486
38	0.6413589507
39	0.640706145
40	0.6399340914
41	0.6387770107
42	0.6381518414
43	0.6370352155
44	0.6367380954
45	0.6362860942
46	0.634636675
47	0.6338265774
48	0.6332131682
49	0.6319342523
50	0.6316617697
51	0.6300024132
52	0.6285803764
53	0.6271436394
54	0.6262389314
55	0.6258923599
56	0.6251559395
57	0.6248397092
58	0.624031258
59	0.622919395
60	0.6224445203
61	0.6220963024
62	0.6213474163
63	0.620755293
64	0.6200521539
65	0.618270727
66	0.617264529
67	0.6164344979
68	0.6156124637
69	0.6148007196
70	0.6139668665
71	0.6129522011
72	0.6126018664
73	0.6121783247
74	0.611699334
75	0.6113156592
76	0.6103462704
77	0.6095101829
78	0.6089532224
79	0.6084043764
80	0.6082971826
81	0.6078415946
82	0.6069233624
83	0.6063184205
84	0.6055640072
85	0.6051031859
86	0.6046418942
87	0.6040524757
88	0.6037670569
89	0.6032109196
90	0.6029628394
91	0.6024978432
92	0.6021427456
93	0.6017870012
94	0.6010517569
95	0.6002285467
96	0.5993605303
97	0.5990326575
98	0.5984271276
99	0.5980231077
100	0.5976647173
101	0.5964410741
102	0.5955067306
103	0.5948302282
104	0.5944463182
105	0.5936164635
106	0.5929146769
107	0.5924216915
108	0.591777706
109	0.5914384846
110	0.5908871689
111	0.5899097244
112	0.5894783623
113	0.5886086995
114	0.587806834
115	0.587409047
116	0.5871450906
117	0.5864027314
118	0.5857290514
119	0.585277109
120	0.5847255582
121	0.5837057771
122	0.582964888
123	0.5827838993
124	0.5820163734
125	0.5807467481
126	0.5801571532
127	0.5797788293
128	0.5791167919
129	0.5782112019
130	0.5778366412
131	0.5773353062
132	0.5768721917
133	0.5762526672
134	0.575528007
135	0.5743762184
136	0.5740017165
137	0.5737627503
138	0.5730308577
139	0.5722882045
140	0.5718934164
141	0.5714173657
142	0.5710697358
143	0.5705213014
144	0.5700784143
145	0.5690285273
146	0.5682857565
147	0.5676235427
148	0.566873951
149	0.5663871986
150	0.5659956445
151	0.5656937616
152	0.565065123
153	0.5638961057
154	0.5631873217
155	0.5625653864
156	0.5621235577
157	0.5612728876
158	0.560647189
159	0.5600628274
160	0.5590556297
161	0.5584654468
162	0.5577159727
163	0.5574270259
164	0.556983198
165	0.5562330183
166	0.5556099658
167	0.5546914984
168	0.5538582333
169	0.5529812205
170	0.5524340797
171	0.5518937598
172	0.5514775682
173	0.5509059075
174	0.5503181355
175	0.5498526689
176	0.5489815361
177	0.5483929408
178	0.5477194373
179	0.5468276654
180	0.546322332
181	0.5458244662
182	0.5450888691
183	0.5444334173
184	0.5438998007
185	0.5430070293
186	0.5422421494
187	0.5416933622
188	0.5411943792
189	0.5407165645
190	0.5402255196
191	0.5391597564
192	0.5385201809
193	0.5381307437
194	0.5376649831
195	0.5370695669
196	0.5362954553
197	0.5356295371
198	0.5349391577
199	0.5342611265
200	0.5338546959
201	0.5334186885
202	0.5324541801
203	0.5313717175
204	0.5305627371
205	0.5299153411
206	0.5295914667
207	0.5286093769
208	0.5282818568
209	0.5274339503
210	0.5269946501
211	0.5266394349
212	0.5258317481
213	0.5249724342
214	0.5243820749
215	0.5237710177
216	0.5229557456
217	0.5224410041
218	0.5217936668
219	0.5211427428
220	0.5204403093
221	0.5200730987
222	0.5191962034
223	0.5183454157
224	0.517742179
225	0.5173138745
226	0.5168611089
227	0.5164529143
228	0.5156522247
229	0.5144111178
230	0.5137598409
231	0.5128671282
232	0.5124094234
233	0.5116768251
234	0.5111749609
235	0.5098741711
236	0.5092422985
237	0.5087958834
238	0.5083037801
239	0.5074507579
240	0.506618904
241	0.5059101788
242	0.5050165842
243	0.5043199719
244	0.5039022516
245	0.5034802975
246	0.5024113591
247	0.5020836038
248	0.5013364818
249	0.5007198385
250	0.4994729103
251	0.4988246322
252	0.4983086558
253	0.4972002621
254	0.4963736415
255	0.4960941028
256	0.4955914742
257	0.4950814367
258	0.4944185172
259	0.4938448573
260	0.4930122684
261	0.4922554148
262	0.4915304313
263	0.4910912192
264	0.4901341786
265	0.489246758
266	0.488891337
267	0.4880337283
268	0.4870422598
269	0.4860263009
270	0.4854885682
271	0.4848000705
272	0.4839651001
273	0.4832096284
274	0.4825597039
275	0.4819278313
276	0.4808447807
277	0.4799924641
278	0.4794044274
279	0.4783897326
280	0.4775771066
281	0.476967637
282	0.476305776
283	0.4758478653
284	0.4747298577
285	0.4742336971
286	0.4734076645
287	0.4726433432
288	0.4717147327
289	0.4710357901
290	0.4704432846
291	0.4698144696
292	0.4688897987
293	0.468151291
294	0.4676991722
295	0.4671899873
296	0.4661999006
297	0.4655305425
298	0.4650271495
299	0.4646824008
